text,label
I experience sudden emotional highs and lows,Bipolar
I can't predict how I'll feel tomorrow,Bipolar
I feel overly cheerful for no reason,Bipolar
I become extremely talkative sometimes,Bipolar
I feel like my emotions change too quickly,Bipolar
I have periods where I barely sleep,Bipolar
I suddenly become full of confidence,Bipolar
I get excited about unrealistic plans,Bipolar
I feel like my thoughts never stop racing,Bipolar
I go from high energy to complete exhaustion,Bipolar
I sometimes feel unusually powerful,Bipolar
I become very impulsive during certain days,Bipolar
I feel emotionally out of control,Bipolar
I lose track of my limits when I'm energetic,Bipolar
I keep making spontaneous decisions,Bipolar
I have days where my mood changes dramatically,Bipolar
I can't explain why my energy changes so much,Bipolar
I suddenly feel like taking huge risks,Bipolar
I become extremely optimistic overnight,Bipolar
I have moments where I feel unstoppable followed by sadness,Bipolar
I often surprise myself with sudden mood shifts,Bipolar
I feel like my emotions are on a roller coaster,Bipolar
I sometimes feel like I don't need sleep at all,Bipolar
I become unusually outgoing without warning,Bipolar
I feel extremely motivated and then suddenly lose all motivation,Bipolar
I notice my mood changing very rapidly,Bipolar
I feel like my energy comes in intense waves,Bipolar
I have emotional highs that don't last long,Bipolar
I become unusually fearless at times,Bipolar
I sometimes act first and think later,Bipolar
I don't always recognize my own mood changes,Bipolar
I feel like my emotions swing between extremes,Bipolar
I don't know how to escape this sadness,Depression
I have lost interest in meeting people,Depression
I feel like giving up on my dreams,Depression
I completed my work successfully,Normal
I am satisfied with my progress,Normal
I had a productive morning,Normal
I enjoyed spending time with my friends,Normal
I feel relaxed after my walk,Normal
I cooked a delicious meal today,Normal
I am looking forward to tomorrow,Normal
I enjoyed reading a book,Normal
I spent time listening to music,Normal
I feel grateful for today,Normal
I had a pleasant evening,Normal
My day has been smooth so far,Normal
I cleaned my room today,Normal
I enjoyed the cool weather,Normal
I completed all my daily tasks,Normal
I feel comfortable and relaxed,Normal
I had a refreshing shower,Normal
I spent time with my pet,Normal
I enjoyed drawing this afternoon,Normal
I had a nice lunch with my family,Normal
I watched a funny video and laughed,Normal
I enjoyed helping someone today,Normal
I feel positive about life,Normal
I stayed focused while studying,Normal
I had a peaceful afternoon,Normal
I enjoyed riding my bicycle,Normal
I completed my exercise routine,Normal
I enjoyed practicing my hobby,Normal
I had a healthy dinner,Normal
I organized my study table,Normal
I enjoyed solving puzzles,Normal
I finished my project successfully,Normal
I learned something interesting today,Normal
I feel content with myself,Normal
I had a relaxing cup of tea,Normal
I visited a nearby park,Normal
I enjoyed the fresh air outside,Normal
I watched the sunset today,Normal
I watered my plants this morning,Normal
I enjoyed baking at home,Normal
I had a peaceful weekend,Normal
I spent quality time with my parents,Normal
I enjoyed talking to my classmates,Normal
I had enough sleep last night,Normal
I am feeling stressed today,Stress
I have too much work to do,Stress
I can't handle all these tasks,Stress
I feel overwhelmed with work,Stress
I have too many deadlines,Stress
I am mentally exhausted,Stress
I feel under a lot of pressure,Stress
I don't have enough time,Stress
I am struggling to keep up,Stress
I have a busy schedule,Stress
I feel like everything depends on me,Stress
I can't finish everything today,Stress
I feel worn out,Stress
I have too many responsibilities,Stress
I need a break from everything,Stress
I feel completely drained,Stress
I can't focus because of work,Stress
I am overloaded with tasks,Stress
I feel burned out,Stress
I don't know where to begin,Stress
I have so much on my plate,Stress
I feel mentally tired,Stress
I am trying to do too many things,Stress
I keep thinking about work,Stress
I have no time to relax,Stress
I feel exhausted after work,Stress
I am falling behind on my tasks,Stress
I feel like giving myself a break,Stress
I have too much to manage,Stress
I can't balance everything,Stress
I feel frustrated with my workload,Stress
I have been working nonstop,Stress
I feel pressured to perform well,Stress
I have a lot on my mind today,Stress
I feel tired from all the responsibilities,Stress
I am stressed about my assignments,Stress
I can't keep everything organized,Stress
I have too many things to finish,Stress
I feel like I am always busy,Stress
I don't get enough time to rest,Stress
I feel overwhelmed by my studies,Stress
I have been pushing myself too hard,Stress
I am stressed because of exams,Stress
I feel like I am running out of time,Stress
I have too many meetings today,Stress
I can't deal with this workload anymore,Stress
I feel pressure from everyone,Stress
I am struggling with time management,Stress
I feel mentally overloaded,Stress
I have too much homework,Stress
I feel exhausted from studying,Stress
I have been working all day,Stress
I feel like there is never enough time,Stress
I am tired of constant work,Stress
I can't catch a break lately,Stress
I feel overwhelmed by my responsibilities,Stress
I have too many commitments,Stress
I am stressed about tomorrow,Stress
I have a lot to finish before the deadline,Stress
I can't stop thinking about work,Stress
I feel like I am doing everything alone,Stress
I am under constant pressure,Stress
I feel stressed from my daily routine,Stress
I have too much pending work,Stress
I am tired of multitasking,Stress
I can't keep up with everything anymore,Stress
I feel exhausted every evening,Stress
I have too many expectations to meet,Stress
I feel overwhelmed by my schedule,Stress
I am stressed because nothing is getting done,Stress
I have too many priorities at once,Stress
I feel like my brain needs a break,Stress
I am struggling to finish my work,Stress
I have no free time these days,Stress
I feel trapped by my responsibilities,Stress
I am tired of rushing all the time,Stress
I feel stressed every single day,Stress
I have too much pressure at work,Stress
I am mentally worn out,Stress
I just want everything to slow down,Stress
I completed my morning routine,Normal
I enjoyed writing in my journal,Normal
I spent time offline today,Normal
I enjoyed learning a new skill,Normal
I practiced coding today,Normal
I finished my college assignment,Normal
I enjoyed taking photographs,Normal
I watched an educational video,Normal
I had a relaxing evening walk,Normal
I enjoyed listening to a podcast,Normal
I stayed hydrated throughout the day,Normal
I managed my time well today,Normal
I enjoyed visiting a bookstore,Normal
I spent time doing yoga,Normal
I practiced meditation this morning,Normal
I appreciated the little things today,Normal
I enjoyed shopping with my family,Normal
I visited my grandparents today,Normal
I enjoyed cooking dinner,Normal
I feel emotionally balanced today,Normal
I had a normal and peaceful day,Normal
Feeling empty for no clear reason,Depression
Nothing seems enjoyable anymore,Depression
Getting out of bed feels impossible,Depression
Every day feels exactly the same,Depression
Lost interest in things that once mattered,Depression
Smiling feels forced these days,Depression
Everything feels dull and colorless,Depression
Life feels meaningless lately,Depression
Crying without knowing why,Depression
Feeling emotionally numb,Depression
Completely exhausted all the time,Depression
No motivation to do anything,Depression
Missing the person I used to be,Depression
Nothing excites me anymore,Depression
Feeling disconnected from everyone,Depression
The future looks hopeless,Depression
Just existing instead of living,Depression
No energy to leave the house,Depression
Avoiding everyone lately,Depression
Want to sleep all day,Depression
Even small tasks feel overwhelming,Depression
Nothing makes me genuinely happy,Depression
Feeling like a burden to others,Depression
Lost my appetite recently,Depression
Eating only because I have to,Depression
Getting through the day feels difficult,Depression
Everything feels heavy inside,Depression
Can't remember the last time I felt excited,Depression
Spending most of my time alone,Depression
Don't feel like talking anymore,Depression
Missing happiness but unable to find it,Depression
Finding it hard to care about anything,Depression
Feeling worthless today,Depression
Life feels empty inside,Depression
No reason to celebrate anything,Depression
Nothing seems worth the effort,Depression
Feeling lonely even around people,Depression
Can't shake this sadness away,Depression
Every morning feels difficult,Depression
Staying in bed most of the day,Depression
Everything feels emotionally draining,Depression
Lost interest in my favorite hobbies,Depression
Feeling like giving up on everything,Depression
Days pass without any excitement,Depression
Struggling to enjoy simple things,Depression
Feeling broken inside,Depression
No desire to socialize anymore,Depression
Haven't felt like myself lately,Depression
Nothing brings comfort anymore,Depression
Feeling mentally exhausted every day,Depression
It feels like I'm fading away,Depression
Can't find happiness in anything,Depression
Always feeling down lately,Depression
The sadness never seems to leave,Depression
Finding it hard to smile naturally,Depression
Feeling hopeless about tomorrow,Depression
Everything feels pointless,Depression
No interest in leaving my room,Depression
Every task feels exhausting,Depression
Feeling emotionally drained,Depression
Lost confidence in myself,Depression
Don't see anything to look forward to,Depression
Nothing feels meaningful anymore,Depression
Struggling to get through each day,Depression
Feeling trapped inside my own thoughts,Depression
Life has become emotionally exhausting,Depression
Feeling empty despite having people around,Depression
No motivation to take care of myself,Depression
Waking up already feeling tired,Depression
Everything feels darker lately,Depression
Feeling defeated every single day,Depression
Can't enjoy time with friends anymore,Depression
Happiness feels out of reach,Depression
The sadness keeps following me,Depression
Feeling like I don't matter,Depression
Nothing feels rewarding anymore,Depression
Barely making it through the day,Depression
My emotions feel completely flat,Depression
Every day starts with sadness,Depression
Losing hope little by little,Depression
Life feels steady right now,Normal
I enjoyed spending time by myself,Normal
I feel cheerful after finishing my work,Normal
I ended the day with a smile,Normal
Feeling great after today's workout,Normal
Had a wonderful dinner with the family,Normal
Watching the rain feels peaceful,Normal
Finally finished cleaning the house,Normal
Everything feels under control today,Normal
Just got back from a relaxing walk,Normal
Looking forward to the weekend,Normal
Enjoying a quiet evening at home,Normal
Spent the afternoon reading a novel,Normal
Finished all today's responsibilities,Normal
Coffee tasted amazing this morning,Normal
The weather feels perfect today,Normal
Dinner turned out really delicious,Normal
Work went smoothly without any problems,Normal
Classes were interesting today,Normal
Nothing much happened today and that's okay,Normal
Relaxing while listening to soft music,Normal
Had a fun time with cousins,Normal
Life feels simple today,Normal
A good laugh made the day better,Normal
Breakfast was satisfying this morning,Normal
Sunshine made the morning brighter,Normal
Laundry is finally done,Normal
The room feels clean and organized now,Normal
Enjoying some peaceful alone time,Normal
Today felt quite balanced,Normal
Everything seems to be going well lately,Normal
Finished watching a nice documentary,Normal
A short nap helped a lot,Normal
Spent time practicing drawing,Normal
Cooking turned out better than expected,Normal
Homework is finally completed,Normal
Got plenty of fresh air today,Normal
Made time for a favorite hobby,Normal
Feeling like everyone secretly dislikes me,Personality Disorder
Getting attached to people almost instantly,Personality Disorder
Every small disagreement feels like rejection,Personality Disorder
Trusting people feels nearly impossible,Personality Disorder
Relationships never seem to feel secure,Personality Disorder
Always expecting people to leave eventually,Personality Disorder
I can't stop worrying about tomorrow,Anxiety
I keep imagining the worst possible outcome,Anxiety
I feel nervous even when nothing is wrong,Anxiety
I can't relax no matter how hard I try,Anxiety
I overthink every little decision,Anxiety
I feel restless all the time,Anxiety
I worry about things I can't control,Anxiety
I feel like something bad is about to happen,Anxiety
I keep replaying conversations in my head,Anxiety
I get nervous before simple tasks,Anxiety
I struggle to calm my thoughts,Anxiety
I feel tense throughout the day,Anxiety
I can't stop thinking about what could go wrong,Anxiety
I get anxious waiting for replies,Anxiety
I feel on edge for no reason,Anxiety
I panic over small mistakes,Anxiety
I worry that people are judging me,Anxiety
I have trouble relaxing at night,Anxiety
I keep expecting bad news,Anxiety
I feel overwhelmed by uncertainty,Anxiety
I can't stop checking if everything is okay,Anxiety
I worry too much about the future,Anxiety
I feel uneasy in crowded places,Anxiety
I overanalyze every conversation,Anxiety
I get scared about making the wrong choice,Anxiety
I find it hard to stop overthinking,Anxiety
I feel nervous before making phone calls,Anxiety
I constantly think something will go wrong,Anxiety
I feel uneasy without knowing why,Anxiety
I have racing thoughts before sleeping,Anxiety
I become anxious over tiny problems,Anxiety
I keep doubting my decisions,Anxiety
I worry about disappointing people,Anxiety
I get nervous meeting new people,Anxiety
I fear embarrassing myself,Anxiety
I can't stop thinking about my mistakes,Anxiety
I always expect the worst,Anxiety
I become anxious when plans change suddenly,Anxiety
I feel uncomfortable in unfamiliar places,Anxiety
I worry about things that haven't happened,Anxiety
Feeling nervous without a clear reason,Anxiety
Constantly expecting something bad to happen,Anxiety
Overthinking every little detail,Anxiety
Heart starts racing before important events,Anxiety
Unable to stop worrying today,Anxiety
Feeling tense from the moment I woke up,Anxiety
Every small problem feels huge,Anxiety
Always wondering what could go wrong,Anxiety
Finding it difficult to calm down,Anxiety
Thoughts keep racing all day,Anxiety
Worrying even when everything seems fine,Anxiety
Getting anxious while waiting for messages,Anxiety
Feeling uncomfortable around strangers,Anxiety
Mind refuses to slow down,Anxiety
Small uncertainties make me panic,Anxiety
Every decision feels stressful,Anxiety
Fear keeps interrupting my thoughts,Anxiety
Unable to enjoy the present because of worry,Anxiety
Feeling shaky before simple conversations,Anxiety
Nervousness appears out of nowhere,Anxiety
Always preparing for the worst,Anxiety
Finding it hard to breathe when stressed,Anxiety
Constant worry is exhausting,Anxiety
Simple situations make me nervous,Anxiety
Feeling uneasy before leaving the house,Anxiety
Trouble concentrating because of worry,Anxiety
Mind keeps creating scary scenarios,Anxiety
Every notification makes me anxious,Anxiety
Feeling overwhelmed by uncertainty,Anxiety
Getting startled very easily lately,Anxiety
Unable to stop imagining negative outcomes,Anxiety
Fear keeps taking over my thoughts,Anxiety
Everything feels more stressful than usual,Anxiety
Constant nervousness makes it hard to relax,Anxiety
Feeling anxious about upcoming responsibilities,Anxiety
Overthinking things people probably forgot,Anxiety
Always second guessing myself,Anxiety
Feeling restless even while sitting still,Anxiety
Unable to switch my brain off,Anxiety
Constantly looking for reassurance from others,Personality Disorder
Small changes in someone's behavior upset me deeply,Personality Disorder
Feeling empty without someone's attention,Personality Disorder
Changing opinions just to fit in with others,Personality Disorder
Never feeling sure about who I really am,Personality Disorder
Assuming people are talking about me,Personality Disorder
Feeling hurt when someone seems distant,Personality Disorder
Becoming overly dependent on certain people,Personality Disorder
Finding it difficult to be alone,Personality Disorder
Every relationship feels unstable somehow,Personality Disorder
Fear of rejection controls many decisions,Personality Disorder
Getting emotionally attached too quickly,Personality Disorder
Questioning people's loyalty all the time,Personality Disorder
Feeling abandoned after small misunderstandings,Personality Disorder
Overthinking every text message received,Personality Disorder
Seeking constant approval from others,Personality Disorder
Feeling like nobody truly understands me,Personality Disorder
Taking criticism very personally,Personality Disorder
Reacting intensely to small conflicts,Personality Disorder
Depending on others to feel okay,Personality Disorder
Finding it difficult to forgive rejection,Personality Disorder
Feeling unsure about personal values,Personality Disorder
Changing behavior to avoid being disliked,Personality Disorder
Constantly wondering if people are upset with me,Personality Disorder
Feeling emotionally unstable in relationships,Personality Disorder
Becoming suspicious without much evidence,Personality Disorder
Relationships often feel confusing,Personality Disorder
Always expecting disappointment from others,Personality Disorder
Feeling like nobody will stay forever,Personality Disorder
Emotions become overwhelming during arguments,Personality Disorder
Feeling insecure even with close friends,Personality Disorder
Wanting reassurance over and over again,Personality Disorder
Thinking people secretly want to leave,Personality Disorder
Feeling rejected after being left on read,Personality Disorder
Difficulty trusting even kind people,Personality Disorder
Getting upset when plans suddenly change,Personality Disorder
Feeling emotionally dependent on one person,Personality Disorder
Wondering why relationships never feel stable,Personality Disorder
Feeling confused about personal identity,Personality Disorder
Constant fear of being replaced,Personality Disorder
Small comments stay in my mind for days,Personality Disorder
Feeling abandoned when someone gets busy,Personality Disorder
Being afraid of emotional distance,Personality Disorder
Wanting people close but fearing they will hurt me,Personality Disorder
Feeling like nobody really knows me,Personality Disorder
Taking silence as a sign of rejection,Personality Disorder
Feeling intense emotions over small situations,Personality Disorder
Finding it difficult to trust good intentions,Personality Disorder
Constantly analyzing other people's behavior,Personality Disorder
Feeling unwanted without reassurance,Personality Disorder
Thinking relationships are either perfect or terrible,Personality Disorder
Getting overwhelmed by emotional conflicts,Personality Disorder
Feeling like my identity keeps changing,Personality Disorder
Needing frequent validation to feel secure,Personality Disorder
Feeling abandoned when someone cancels plans,Personality Disorder
Difficulty believing people genuinely care,Personality Disorder
Feeling deeply affected by minor criticism,Personality Disorder
Struggling to maintain emotional balance with others,Personality Disorder
Feeling uncertain about personal goals,Personality Disorder
Overreacting to perceived rejection,Personality Disorder
Wanting closeness but fearing intimacy,Personality Disorder
Feeling misunderstood in almost every relationship,Personality Disorder
Always preparing for people to leave,Personality Disorder
Finding it difficult to trust compliments,Personality Disorder
Feeling emotionally fragile around loved ones,Personality Disorder
Wondering whether people secretly hate me,Personality Disorder
Feeling anxious when someone becomes less responsive,Personality Disorder
Becoming defensive very easily,Personality Disorder
Feeling like my emotions are too intense for others,Personality Disorder
Difficulty maintaining consistent relationships,Personality Disorder
Feeling empty after people leave,Personality Disorder
Getting emotionally overwhelmed by rejection,Personality Disorder
Always questioning where I stand with people,Personality Disorder
Nothing is bothering me today,Normal
Feeling thankful for a calm day,Normal
A walk in the park was refreshing,Normal
Music has been making the day enjoyable,Normal
Had enough energy throughout the day,Normal
Finally crossed everything off the checklist,Normal
The day has been relaxing overall,Normal
Everything feels pretty normal right now,Normal
Feeling refreshed after a good shower,Normal
A peaceful morning set the tone for today,Normal
Had fun trying a new recipe,Normal
Enjoying every little moment today,Normal
A family gathering went really well,Normal
Learning something new feels exciting,Normal
The afternoon passed pleasantly,Normal
A good night's sleep made a difference,Normal
Weekend plans sound exciting,Normal
Caught up on some reading today,Normal
Feeling comfortable with today's routine,Normal
Managed time efficiently today,Normal
A pleasant conversation made the day brighter,Normal
Fresh homemade food tasted wonderful,Normal
Everything feels stable these days,Normal
Productivity has been good today,Normal
Found some time to simply relax,Normal
Finished organizing old files,Normal
The house feels cozy tonight,Normal
The garden looks beautiful today,Normal
Enjoyed spending time outdoors,Normal
Today's schedule worked out perfectly,Normal
Finished a small personal goal today,Normal
Had a nice break between tasks,Normal
Feeling motivated for tomorrow,Normal
A calm evening is exactly what was needed,Normal
Made steady progress today,Normal
Grateful for the little joys today,Normal
A beautiful sunset ended the day nicely,Normal
Feeling comfortable in my own company,Normal
The movie was worth watching,Normal
Today's meals were satisfying,Normal
I constantly worry that people will leave me,Personality Disorder
I don't know who I really am anymore,Personality Disorder
I change my personality depending on who I'm with,Personality Disorder
I struggle to trust anyone completely,Personality Disorder
I often push people away before they leave me,Personality Disorder
I feel abandoned very easily,Personality Disorder
I overreact when someone ignores me,Personality Disorder
I don't feel stable in my relationships,Personality Disorder
I don't know what kind of person I am,Personality Disorder
I become attached to people very quickly,Personality Disorder
I fear being left alone,Personality Disorder
I find it difficult to control my emotions around others,Personality Disorder
I feel misunderstood by everyone,Personality Disorder
I often think people secretly dislike me,Personality Disorder
I can't maintain healthy relationships,Personality Disorder
I feel empty when nobody is around,Personality Disorder
I keep testing whether people really care about me,Personality Disorder
I get angry over very small things in relationships,Personality Disorder
I feel rejected even without a reason,Personality Disorder
I often regret how I react emotionally,Personality Disorder
People say my emotions are too intense,Personality Disorder
I become suspicious of other people's intentions,Personality Disorder
I don't know who I am supposed to be,Personality Disorder
I feel like everyone eventually leaves me,Personality Disorder
I react strongly to small disappointments,Personality Disorder
I struggle to feel emotionally secure,Personality Disorder
I often feel disconnected from myself,Personality Disorder
I can't decide what I really want in life,Personality Disorder
I constantly seek reassurance from people,Personality Disorder
I worry about rejection all the time,Personality Disorder
I become emotionally attached too easily,Personality Disorder
I don't trust compliments from others,Personality Disorder
I often misread people's intentions,Personality Disorder
I find relationships emotionally exhausting,Personality Disorder
I feel like my emotions control me,Personality Disorder
I often feel abandoned without explanation,Personality Disorder
I don't know what my real personality is,Personality Disorder
I keep changing how I act around different people,Personality Disorder
I feel insecure in almost every relationship,Personality Disorder
I get deeply hurt by small comments,Personality Disorder
I assume people will eventually leave me,Personality Disorder
I struggle to keep close friendships,Personality Disorder
I find it difficult to trust people's loyalty,Personality Disorder
I overthink every interaction with others,Personality Disorder
I feel like I don't belong anywhere,Personality Disorder
I become emotionally dependent on certain people,Personality Disorder
I often question who I really am,Personality Disorder
I have trouble maintaining stable relationships,Personality Disorder
I fear being ignored by the people I love,Personality Disorder
I constantly seek validation from others,Personality Disorder
I don't feel emotionally stable,Personality Disorder
I become upset when someone doesn't reply quickly,Personality Disorder
I feel like people misunderstand my intentions,Personality Disorder
I don't know why my feelings change so much around others,Personality Disorder
I often feel rejected without proof,Personality Disorder
I rely too much on others for reassurance,Personality Disorder
I have difficulty setting healthy boundaries,Personality Disorder
I struggle with my sense of identity,Personality Disorder
I become overly sensitive to criticism,Personality Disorder
I often think people are judging me,Personality Disorder
I feel emotionally overwhelmed in relationships,Personality Disorder
I have trouble knowing what I truly want,Personality Disorder
I become anxious when someone seems distant,Personality Disorder
I find it difficult to trust even close friends,Personality Disorder
I often feel like I'm too much for people,Personality Disorder
I worry that everyone will abandon me eventually,Personality Disorder
I keep questioning whether people actually care,Personality Disorder
I feel emotionally dependent on approval,Personality Disorder
I struggle to keep my emotions balanced,Personality Disorder
I become hurt very easily by rejection,Personality Disorder
I often doubt my own identity,Personality Disorder
I don't know how to maintain healthy emotional boundaries,Personality Disorder
I feel like my relationships are always unstable,Personality Disorder
I constantly fear losing the people close to me,Personality Disorder
I become intensely attached to certain people,Personality Disorder
I have difficulty trusting anyone completely,Personality Disorder
I often feel emotionally out of control,Personality Disorder
I react very strongly to perceived rejection,Personality Disorder
I never feel secure in my relationships,Personality Disorder
I often feel empty without emotional support,Personality Disorder
Everything feels peaceful this evening,Normal
Finally had time to relax properly,Normal
I feel anxious every time my phone rings,Anxiety
I can't stop checking whether I forgot something,Anxiety
